trade_idx,split_00,split_01,split_02,split_03,split_04,split_05,split_06,split_07,split_08,split_09,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44
0,21.2600,21.2600,21.2600,21.2600,-11.2400,21.2600,-11.2400,21.2600,-11.2400,-11.2400,21.2600,21.2600,21.2600,21.2600,-11.2400,-11.2400,-11.2400,-11.2400,-11.2400,-11.2400,-11.2400,21.2600,-11.2400,-11.2400,-14.9900,-14.9900,-14.9900,10.0100,-14.9900,-14.9900,-11.2400,-11.2400,21.2600,-11.2400,-11.2400,21.2600,21.2600,-11.2400,-11.2400,131.8850,-136.8650,-136.8650,21.2600,21.2600,21.2600
1,10.0200,10.0200,10.0200,10.0200,10.0200,10.0200,10.0200,10.0200,-22.4800,92.5200,-87.4800,-87.4800,125.0200,-87.4800,92.5200,92.5200,92.5200,-22.4800,10.0200,10.0200,10.0200,42.5200,-22.4800,-22.4800,6.2700,6.2700,6.2700,-1.2300,6.2700,6.2700,-22.4800,-22.4800,42.5200,-22.4800,-22.4800,3.7700,3.7700,1.2700,1.2700,120.6450,-115.6050,-115.6050,42.5200,10.0200,42.5200
2,-1.2200,-1.2200,-1.2200,-1.2200,-1.2200,-1.2200,-1.2200,-1.2200,-33.7200,-6.8450,-186.8450,-186.8450,25.6550,-186.8450,-6.8450,186.9050,186.9050,-33.7200,-1.2200,-1.2200,-1.2200,63.7800,-33.7200,-33.7200,27.5300,27.5300,27.5300,-12.4700,27.5300,27.5300,13.7800,13.7800,1.2800,13.7800,13.7800,18.7800,18.7800,16.2800,16.2800,141.9050,-126.8450,-126.8450,22.5300,-9.9700,63.7800
3,-62.4600,-62.4600,-62.4600,-62.4600,-62.4600,-62.4600,-62.4600,-62.4600,-94.9600,14.4150,-165.5850,-165.5850,46.9150,-165.5850,14.4150,208.1650,208.1650,-146.2100,106.2900,-113.7100,-113.7100,171.2900,-146.2100,-146.2100,-18.7100,-18.7100,-18.7100,28.7900,68.7900,68.7900,35.0400,35.0400,22.5400,35.0400,35.0400,-34.9600,-34.9600,65.0400,65.0400,163.1650,-138.0850,-138.0850,-6.2100,-38.7100,85.0400
4,-73.7000,-73.7000,-73.7000,-73.7000,-73.7000,-73.7000,-41.2000,-73.7000,-106.2000,76.3000,-232.4500,-232.4500,-19.9500,-232.4500,-52.4500,270.0500,141.3000,-298.7000,-46.2000,-266.2000,-266.2000,318.8000,-298.7000,-298.7000,2.5500,2.5500,2.5500,50.0500,90.0500,90.0500,23.8000,23.8000,43.8000,23.8000,23.8000,-46.2000,-46.2000,86.3000,86.3000,358.1750,-338.0750,-338.0750,35.0500,-84.9500,5.0500
5,-84.9400,-84.9400,-84.9400,-84.9400,-84.9400,-84.9400,-19.9400,-84.9400,-117.4400,65.0600,-243.6900,-243.6900,-31.1900,-243.6900,-63.6900,258.8100,130.0600,-277.4400,-24.9400,-244.9400,-244.9400,307.5600,-277.4400,-277.4400,31.3100,31.3100,31.3100,78.8100,118.8100,118.8100,12.5600,12.5600,65.0600,12.5600,12.5600,-24.9400,-24.9400,107.5600,107.5600,545.6850,-530.5650,-530.5650,56.3100,-96.1900,-86.1900
6,-96.1800,-96.1800,-96.1800,-96.1800,-96.1800,-96.1800,1.3200,-96.1800,-128.6800,25.6950,-283.0550,-283.0550,-70.5550,-283.0550,-103.0550,219.4450,90.6950,-256.1800,-36.1800,-256.1800,-256.1800,296.3200,-288.6800,-288.6800,11.3200,11.3200,11.3200,93.8200,133.8200,133.8200,47.5700,47.5700,100.0700,47.5700,47.5700,-84.3050,-84.3050,161.9450,48.1950,534.4450,-509.3050,-509.3050,77.5700,-107.4300,-97.4300
7,-107.4200,-74.9200,-107.4200,-107.4200,-74.9200,-107.4200,22.5800,-107.4200,-139.9200,14.4550,-294.2950,-294.2950,-81.7950,-294.2950,-114.2950,208.2050,79.4550,-443.6700,146.3300,-73.6700,-73.6700,478.8300,-106.1700,-106.1700,31.3300,31.3300,-13.6700,113.8300,153.8300,153.8300,68.8300,68.8300,121.3300,68.8300,68.8300,-63.0450,-63.0450,183.2050,69.4550,746.9550,-726.7950,-726.7950,63.8300,-98.6700,-108.6700
8,-118.6600,-86.1600,-118.6600,-118.6600,-53.6600,-86.1600,43.8400,-118.6600,-151.1600,5.7150,-303.0350,-303.0350,-90.5350,-303.0350,-123.0350,199.4650,70.7150,-422.4100,167.5900,-52.4100,-52.4100,467.5900,-84.9100,-84.9100,67.5900,67.5900,-54.9100,150.0900,190.0900,190.0900,57.5900,57.5900,142.5900,57.5900,57.5900,-138.0350,-138.0350,108.2150,-5.5350,768.2150,-738.0350,-738.0350,63.8400,-97.4100,-182.4100
9,-129.9000,-97.4000,-129.9000,-129.9000,-64.9000,-97.4000,65.1000,-129.9000,-162.4000,26.9750,-281.7750,-281.7750,-69.2750,-281.7750,-101.7750,220.7250,91.9750,-669.9000,410.1000,190.1000,190.1000,710.1000,157.6000,157.6000,56.3500,56.3500,-33.6500,138.8500,178.8500,178.8500,46.3500,78.8500,163.8500,46.3500,46.3500,-239.2750,-239.2750,6.9750,-106.7750,944.4750,-919.2750,-919.2750,85.1000,-64.9000,-193.6500
10,-141.1400,-108.6400,-141.1400,-141.1400,-76.1400,-108.6400,86.3600,-141.1400,-173.6400,15.7350,-293.0150,-293.0150,-48.0150,-293.0150,-113.0150,209.4850,80.7350,-648.6400,431.3600,211.3600,211.3600,698.8600,178.8600,178.8600,96.3600,96.3600,-78.6400,178.8600,218.8600,218.8600,35.1100,67.6100,185.1100,35.1100,35.1100,-250.5150,-250.5150,-4.2650,-118.0150,933.2350,-898.0150,-898.0150,73.8600,-54.8900,-204.8900
11,-152.3800,-87.3800,-152.3800,-152.3800,-87.3800,-119.8800,107.6200,-152.3800,-184.8800,4.4950,-304.2550,-304.2550,-59.2550,-304.2550,-124.2550,198.2450,69.4950,-659.8800,452.6200,232.6200,200.1200,720.1200,200.1200,200.1200,68.8700,118.8700,-106.1300,201.3700,241.3700,241.3700,111.3700,143.8700,103.8700,111.3700,111.3700,-340.5050,-340.5050,-94.2550,-208.0050,954.4950,-876.7550,-876.7550,95.1200,-66.1300,-216.1300
12,-89.8700,-24.8700,-89.8700,-89.8700,-24.8700,-57.3700,40.1300,-89.8700,-122.3700,-6.7450,-315.4950,-315.4950,-70.4950,-315.4950,-135.4950,187.0050,58.2550,-671.1200,441.3800,221.3800,188.8800,741.3800,221.3800,188.8800,57.6300,107.6300,-117.3700,190.1300,230.1300,230.1300,174.5050,207.0050,35.7550,174.5050,174.5050,-435.4950,-435.4950,-189.2450,-302.9950,975.7550,-855.4950,-855.4950,83.8800,-77.3700,-191.1200
13,-101.1100,-3.6100,-101.1100,-101.1100,-36.1100,-68.6100,61.3900,-101.1100,-133.6100,12.0150,-296.7350,-296.7350,-51.7350,-296.7350,-116.7350,205.7650,77.0150,-682.3600,430.1400,210.1400,177.6400,762.6400,210.1400,177.6400,78.8900,128.8900,-96.1100,211.3900,251.3900,251.3900,195.7650,195.7650,57.0150,195.7650,195.7650,-446.7350,-446.7350,-200.4850,-314.2350,1143.8900,-1028.6100,-1028.6100,91.3900,-63.6100,-179.8600
14,-24.8500,-84.8500,-24.8500,-24.8500,40.1500,-149.8500,-19.8500,-24.8500,-57.3500,59.5250,-249.2250,-249.2250,-4.2250,-249.2250,-69.2250,253.2750,124.5250,-693.6000,418.9000,198.9000,166.4000,783.9000,198.9000,166.4000,100.1500,150.1500,-74.8500,232.6500,272.6500,272.6500,149.5250,149.5250,10.7750,237.0250,237.0250,-457.9750,-457.9750,-211.7250,-325.4750,1132.6500,-1007.3500,-1007.3500,92.0250,-42.3500,-191.1000
15,-36.0900,-96.0900,-36.0900,-36.0900,28.9100,-161.0900,1.4100,-36.0900,-68.5900,80.7850,-227.9650,-227.9650,17.0350,-227.9650,-47.9650,274.5350,145.7850,-704.8400,407.6600,187.6600,155.1600,805.1600,187.6600,155.1600,121.4100,171.4100,-53.5900,253.9100,293.9100,293.9100,184.5350,184.5350,-29.2150,272.0350,272.0350,-469.2150,-469.2150,-222.9650,-336.7150,1121.4100,-1018.5900,-1018.5900,113.2850,-80.4650,-111.0900
16,53.9200,-6.0800,53.9200,53.9200,118.9200,-71.0800,-93.5800,53.9200,21.4200,116.4200,-192.3300,-192.3300,52.6700,-192.3300,-12.3300,310.1700,181.4200,-716.0800,396.4200,176.4200,143.9200,826.4200,176.4200,143.9200,142.6700,192.6700,-32.3300,275.1700,315.1700,315.1700,205.7950,205.7950,-40.4550,260.7950,260.7950,-447.9550,-447.9550,-201.7050,-315.4550,1142.6700,-997.3300,-997.3300,88.2950,-59.2050,-122.3300
17,152.6800,92.6800,152.6800,152.6800,217.6800,27.6800,-197.3200,152.6800,120.1800,137.6800,-171.0700,-171.0700,73.9300,-171.0700,8.9300,331.4300,202.6800,-889.8200,222.6800,2.6800,-29.8200,995.1800,2.6800,-29.8200,177.6800,227.6800,2.6800,310.1800,350.1800,275.1800,194.5550,194.5550,-51.6950,249.5550,249.5550,-466.6950,-466.6950,-220.4450,-334.1950,1163.9300,-976.0700,-976.0700,109.5550,-70.4450,-101.0700
